WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d5nnjhjh36vs73bjht9g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:10.805Z,2026-01-20T12:52:58.789Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjhl9j2ac739m6p40,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:10.069Z,2026-01-20T12:52:57.643Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjh9h2mqc739c8eng,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:09.482Z,2026-01-20T12:52:56.501Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjh48d8hc73ci0j8g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:08.820Z,2026-01-20T12:52:55.273Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjh48d8hc73ci0j80,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:08.247Z,2026-01-20T12:52:54.092Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjgs8d8hc73ci0j7g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:07.619Z,2026-01-20T12:52:53.090Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjgl9j2ac739m6p2g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:06.925Z,2026-01-20T12:52:52.066Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjgjh36vs73bjht70,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:06.177Z,2026-01-20T12:52:50.873Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjgbh36vs73bjht6g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:05.646Z,2026-01-20T12:52:49.681Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjg9h2mqc739c8em0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:05.043Z,2026-01-20T12:52:47.814Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjg48d8hc73ci0j60,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:04.492Z,2026-01-20T12:52:46.694Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjft9j2ac739m6p1g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:03.898Z,2026-01-20T12:52:45.738Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjfph2mqc739c8el0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:03.317Z,2026-01-20T12:52:44.876Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjfk8d8hc73ci0j50,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:02.720Z,2026-01-20T12:52:43.172Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjfjh36vs73bjht50,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:02.124Z,2026-01-20T12:52:42.207Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjfbh36vs73bjht4g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:01.492Z,2026-01-20T12:52:41.569Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjf3h36vs73bjht3g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:00.713Z,2026-01-20T12:52:39.986Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjerh36vs73bjht2g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:49:00.006Z,2026-01-20T12:52:38.878Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjeph2mqc739c8ejg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:48:59.346Z,2026-01-20T12:49:15.187Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjek8d8hc73ci0j2g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:48:58.730Z,2026-01-20T12:49:15.202Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
d5nnjek8d8hc73ci0j1g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/c599629df45c4794a55daad4835d0856:b209ad37-f8fb-4fc5-9541-0ffc4f4fb7bf::,us-east,job,2026-01-20T12:48:58.114Z,2026-01-20T12:49:13.598Z,ibm_fez,2,Laura Azares,,c599629df45c4794a55daad4835d0856
